scene,start_seconds,end_seconds,segment_type,status
01,0,19.5,gameplay,missing-footage
01,19.5,39,design,silent-visual-draft
01,39,58.5,application,silent-visual-draft
02,58.5,78,gameplay,missing-footage
02,78,97.5,design,silent-visual-draft
02,97.5,117,application,silent-visual-draft
03,117,136.5,gameplay,missing-footage
03,136.5,156,design,silent-visual-draft
03,156,175.5,application,silent-visual-draft
04,175.5,195,gameplay,missing-footage
04,195,214.5,design,silent-visual-draft
04,214.5,234,application,silent-visual-draft
05,234,253.5,gameplay,missing-footage
05,253.5,273,design,silent-visual-draft
05,273,292.5,application,silent-visual-draft
06,292.5,312,gameplay,missing-footage
06,312,331.5,design,silent-visual-draft
06,331.5,351,application,silent-visual-draft
07,351,370.5,gameplay,missing-footage
07,370.5,390,design,silent-visual-draft
07,390,409.5,application,silent-visual-draft
08,409.5,429,gameplay,missing-footage
08,429,448.5,design,silent-visual-draft
08,448.5,468,application,silent-visual-draft
