scene,segment,start_seconds,end_seconds,frames
01,gameplay,0.0,20.2,1212
01,design,20.2,40.4,1212
01,application,40.4,60.6,1212
02,gameplay,60.6,80.66666666666667,1204
02,design,80.66666666666667,100.73333333333333,1204
02,application,100.73333333333333,120.8,1204
03,gameplay,120.8,140.65,1191
03,design,140.65,160.5,1191
03,application,160.5,180.35,1191
04,gameplay,180.35,199.55,1152
04,design,199.55,218.75,1152
04,application,218.75,237.95,1152
05,gameplay,237.95,257.6166666666667,1180
05,design,257.6166666666667,277.28333333333336,1180
05,application,277.28333333333336,296.95,1180
06,gameplay,296.95,317.1166666666667,1210
06,design,317.1166666666667,337.28333333333336,1210
06,application,337.28333333333336,357.45,1210
07,gameplay,357.45,378.1166666666667,1240
07,design,378.1166666666667,398.78333333333336,1240
07,application,398.78333333333336,419.45,1240
08,gameplay,419.45,440.23333333333335,1247
08,design,440.23333333333335,461.01666666666665,1247
08,application,461.01666666666665,481.8,1247
